stg_item_cd,stg_item_sub_segment_desc_txt,stg_item_segment_desc_txt,stg_item_category_desc_txt,stg_item_sub_dept_desc_txt,stg_item_dept_desc_txt
329407,Car wash,Car wash,Car Care Cleaning  Exterior,Car Care,Household
1015576,Oral Accessories,Oral Accessories,Oral Accessories,Oral Care,Household
80998,Complete meals,Dog Food,Pet Food,Pet Care,Household
98845,Bottles,Nectar,RTD,Juices,Beverages
82123,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
89710,Regular,Salted,Margarine,Spreads,Chilled
898765,Prepared Meals,Prepared Meals,Prepared Meals,Baby Foods,Grocery
839842,Assorted,Assorted,Assorted,Pasta,Grocery
132010,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1033387,Imported,Ambient Jelly,Sugar Confectionary,Confectionery,Grocery
1033405,Imported,Ambient Jelly,Sugar Confectionary,Confectionery,Grocery
144520,Chewing Gums,Chewing Gums,Imported,Confectionery,Grocery
126259,Imported,Muesli,Muesli,Cereals,Grocery
1069963,Imported,Extruded Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
1054060,Lipstick,Lipstick,Lip Cosmetics,Cosmetics,Household
998935,Lipstick,Lipstick,Lip Cosmetics,Cosmetics,Household
263122,Dual Purpose,Washing Detergents Powders,Washing Detergents,Laundry Care,Household
919339,Prepared Meals,Baby Prepared Meals,Baby Ready Meals,Baby Foods,Household
244411,Prepared Meals,Baby Prepared Meals,Baby Ready Meals,Baby Foods,Household
907360,Prepared Meals,Baby Prepared Meals,Baby Ready Meals,Baby Foods,Household
907342,Prepared Meals,Baby Prepared Meals,Baby Ready Meals,Baby Foods,Household
1023100,Torch,Torch,Illumination,General Needs,Household
105028,Facial Whitening Cle,Facial Cleansers,Facial Cleansing,Facial Care,Household
129283,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
100627,Complete meals,Dog Food,Pet Food,Pet Care,Household
130354,Complete meals,Dog Food,Pet Food,Pet Care,Household
65149,Box,Full Cream Powdered Milk,Powdered Milk,Milk & Creamers,Beverages
17827,Flavored,Stirred Yogurt-Regular,Stirred Yogurt,Yoghurt,Chilled
143152,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
869173,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1112488,Small Packs,Tea Biscuits,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
1014271,Local,Multiple Consump. Chocolate Gift-pa,Multiple Consumption Chocolates,Confectionery,Grocery
408490,Imported,Multiple Cereal Bars,Cereal Bars,Cereals,Grocery
393154,Imported,Multiple Cereal Bars,Cereal Bars,Cereals,Grocery
366892,Imported,Mustard Cream,Ambient Table Sauces,Sauce,Grocery
918799,Nuts,Nuts,Dessert Fruits & Nuts,Desserts,Grocery
1008448,Regular,Regular Wheat Flour,Wheat Flour,Flour,Grocery
8269,Bottles,Marmalade,Ambient Spreads,Spreads,Grocery
40507,Cans,Peach,Canned Fruit,Processed/Preserved Fruits,Grocery
1063519,Imported,Extruded Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
986497,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
406663,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
768904,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
998989,Lipstick,Lipstick,Lip Cosmetics,Cosmetics,Household
894103,Dual Purpose,Washing Detergents Powders,Washing Detergents,Laundry Care,Household
372859,Clothing Gloves,Clothing Gloves,Gloves,General Needs,Household
1013983,Torch,Torch,Illumination,General Needs,Household
26215,Torch,Torch,Illumination,General Needs,Household
1078765,Facial Whitening Cle,Facial Cleansers,Facial Cleansing,Facial Care,Household
82519,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
997612,Machine,Machine and refill,Car Care Air Freshener,Car Care,Household
90556,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
520171,Table Salt,Table Salt,Salt,Seasoning & Coconut Cream,Grocery
388609,Big Packs,Healthy Biscuits,Healthy Biscuits,Biscuits,Grocery
1084975,Imported,Specialty Cooking Sauces,Ambient Cooking Sauces,Sauce,Grocery
1026610,Imported,Oyster Cooking Sauces,Ambient Cooking Sauces,Sauce,Grocery
1044439,Cans,Curries,Canned Vegetables,Processed / Preserved Vegetables,Grocery
1108357,Regular,Regular Wheat Flour,Wheat Flour,Flour,Grocery
903805,Dual Purpose,Washing Detergents Powders,Washing Detergents,Laundry Care,Household
498589,Cleaning Scrubber,Cleaning Scrubber,Sponges & Scrubbers,Cleaning Durables,Household
957490,Facial Whitening Cle,Facial Cleansers,Facial Cleansing,Facial Care,Household
26746,Powders,Powders,Insecticides,Pest Control,Household
418273,Birthday Candles,Birthday Candles,Party Candles,Party Ware,Household
11356,Cans,Cans,Cans,Carbonated,Beverages
90808,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
